Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
1/1/2021,ID-AC,Aceh,7,0,10,-3,8753,358,7149,1246,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,1.33,1668.11,0.00,68.23,6.82,4.09%,81.67%,1.75,1.00
1/1/2021,ID-BA,Bali,101,1,76,24,17694,517,16223,954,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,23.96,4196.70,0.24,122.62,12.26,2.92%,91.69%,0.56,0.25
1/1/2021,ID-BT,Banten,287,12,188,87,18441,537,15844,2060,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,26.77,1719.86,1.12,50.08,5.01,2.91%,85.92%,1.06,6.00
1/1/2021,ID-BE,Bengkulu,68,5,97,-34,3671,117,2653,901,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,34.01,1835.92,2.50,58.51,5.85,3.19%,72.27%,0.94,2.50
1/1/2021,ID-JK,DKI Jakarta,1956,20,1643,293,185690,3290,166349,16051,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,180.34,17120.37,1.84,303.33,30.33,1.77%,89.58%,0.97,0.95
1/1/2021,ID-YO,Daerah Istimewa Yogyakarta,233,13,113,107,12388,272,8289,3827,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,64.17,3411.72,3.58,74.91,7.49,2.20%,66.91%,0.91,
1/1/2021,ID-GO,Gorontalo,25,0,16,9,3866,104,3327,435,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,21.17,3274.46,0.00,88.09,8.81,2.69%,86.06%,0.17,0.00
1/1/2021,IDN,Indonesia,8072,191,6839,1042,751270,22329,617936,111005,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,30.44,2833.00,0.72,84.20,8.42,2.97%,82.25%,1.00,0.98
1/1/2021,ID-JA,Jambi,36,0,34,2,3263,56,2352,855,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,10.31,934.06,0.00,16.03,1.60,1.72%,72.08%,1.03,0.00
1/1/2021,ID-JB,Jawa Barat,1376,15,955,406,91592,1461,75883,14248,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,30.47,2028.11,0.33,32.35,3.24,1.60%,82.85%,1.09,0.94
